dt,x,y,position,velocity,acceleration,jerk,heading
0.020,265.261,15.618,268.434,35.023,-162.048,367.192,0.313
0.020,265.868,15.815,269.072,31.928,-154.735,365.647,0.314
0.020,266.419,15.993,269.652,28.979,-147.452,364.185,0.314
0.020,266.917,16.155,270.176,26.175,-140.196,362.810,0.314
0.020,267.365,16.300,270.646,23.516,-132.965,361.528,0.314
0.020,267.764,16.430,271.066,21.001,-125.758,360.343,0.314
0.020,268.118,16.545,271.438,18.629,-118.573,359.257,0.314
0.020,268.430,16.646,271.766,16.401,-111.408,358.270,0.314
0.020,268.703,16.735,272.053,14.316,-104.260,357.382,0.314
0.020,268.938,16.811,272.300,12.373,-97.128,356.591,0.314
0.020,269.139,16.877,272.512,10.573,-90.010,355.894,0.314
0.020,269.309,16.932,272.690,8.915,-82.904,355.288,0.314
0.020,269.449,16.978,272.838,7.399,-75.809,354.768,0.314
0.020,269.564,17.015,272.959,6.024,-68.723,354.329,0.314
0.020,269.655,17.044,273.054,4.791,-61.643,353.966,0.314
0.020,269.726,17.067,273.128,3.700,-54.570,353.671,0.314
0.020,269.778,17.084,273.183,2.750,-47.501,353.439,0.314
0.020,269.815,17.096,273.222,1.941,-40.436,353.262,0.314
0.020,269.839,17.104,273.248,1.274,-33.373,353.133,0.314
0.020,269.853,17.109,273.263,0.748,-26.312,353.044,0.314
0.020,269.860,17.111,273.270,0.363,-19.252,352.989,0.314
0.020,269.862,17.112,273.272,0.119,-12.193,352.958,0.314
0.020,269.863,17.112,273.273,0.016,-5.134,352.945,0.314
0.020,269.863,17.112,273.273,0.000,-0.802,216.596,0.314
